filing_year,total_deals,equity_deals,equity_pct,debt_deals,debt_pct,both_deals,both_pct,debt_pct_3yr_rolling_avg
2019,18092,14284,79.0,2867,15.8,617,3.4,15.8
2020,16785,13073,77.9,2645,15.8,530,3.2,15.8
2021,21566,17277,80.1,2753,12.8,610,2.8,14.8
2022,21095,16707,79.2,2250,10.7,458,2.2,13.1
2023,17374,13682,78.7,2039,11.7,449,2.6,11.7
2024,17020,13495,79.3,1887,11.1,430,2.5,11.2
2025,16982,13413,79.0,1817,10.7,472,2.8,11.2
